X,Voice,Number,Subject,Reflexive,TempLoc,Aspect,SpatAdv,Epoch,RelClause,Aux
246,Active,Sg,NoSubj,Nonreflexive,TRUE,Pf,NoSpatAdv,late,NoRelCl,NoAux
247,Active,Pl,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,late,NoRelCl,Aux
248,Active,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,late,NoRelCl,NoAux
249,Active,Sg,Subj,Nonreflexive,FALSE,Pf,SpatAdv,late,RelCl,Aux
250,Passive,Pl,NoSubj,Nonreflexive,FALSE,Impf,NoSpatAdv,late,RelCl,Aux
251,Passive,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,late,NoRelCl,Aux
252,Passive,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,late,RelCl,Aux
253,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,late,RelCl,Aux
254,Active,Pl,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,late,RelCl,Aux
255,Active,Pl,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,late,NoRelCl,Aux
256,Active,Sg,Subj,Reflexive,FALSE,Pf,NoSpatAdv,late,RelCl,NoAux
257,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,late,NoRelCl,NoAux
258,Active,Sg,NoSubj,Reflexive,TRUE,Pf,NoSpatAdv,late,NoRelCl,NoAux
259,Active,Pl,NoSubj,Nonreflexive,TRUE,Pf,SpatAdv,late,NoRelCl,NoAux
260,Active,Sg,Subj,Reflexive,TRUE,Pf,NoSpatAdv,late,NoRelCl,NoAux
261,Active,Sg,NoSubj,Nonreflexive,TRUE,Pf,SpatAdv,late,NoRelCl,NoAux
262,Active,Sg,NoSubj,Nonreflexive,TRUE,Pf,NoSpatAdv,late,NoRelCl,NoAux
